title,year,certificate,duration,genre,rating,description,stars,votes
BoJack Horseman,(2014–2020),TV-MA,26 min,"Animation, Comedy, Drama",9.0,"Todd organizes a surprise wedding for Pickles and Mr. Peanutbutter, but the party quickly goes off the rails when Mr. Peanutbutter makes a confession.","['Adam Parton', '| ', '    Stars:', 'Will Arnett, ', 'Amy Sedaris, ', 'Alison Brie, ', 'Paul F. Tompkins']","3,450"
Attack on Titan,(2013–2023),TV-MA,24 min,"Animation, Action, Adventure",9.0,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.","['Josh Grelle, ', 'Yûki Kaji, ', 'Yui Ishikawa, ', 'Marina Inoue']","363,297"
Dexter,(2006–2013),TV-MA,51 min,"Crime, Drama, Mystery",9.0,Dexter dodges bullets both figurative and real as he is forced to decide the fates of those he cares about most; Lila attempts to blackmail Dexter and makes a startling discovery.,"['Marcos Siega', '| ', '    Stars:', 'Michael C. Hall, ', 'Julie Benz, ', 'Jennifer Carpenter, ', 'Erik King']","4,919"
JoJo's Bizarre Adventure,(2012– ),TV-MA,25 min,"Animation, Action, Adventure",9.0,"Everyone continues to desperately chase after the Requiem in order to obtain the Stand arrow. Diavolo's soul is then forced to show itself, but he will not quit until he obtains the arrow for himself.","['Griffin Burns, ', 'Lizzie Freeman, ', 'Kellen Goff, ', 'Fuminori Komatsu']",965
Anne with an E,(2017–2019),TV-PG,44 min,"Drama, Family",9.0,The students sit for the Queens entrance exams.,"['Amanda Tapping', '| ', '    Stars:', 'Amybeth McNulty, ', 'Geraldine James, ', 'R.H. Thomson, ', 'Dalila Bela']","1,683"
JoJo's Bizarre Adventure,(2012– ),TV-MA,25 min,"Animation, Action, Adventure",9.0,"While Bruno stays on the ground to fight against Secco's Oasis, Giorno and Mista head upwards towards Cioccolata to stop the power of his Green Day. But Cioccolata has another dangerous trick up his sleeve, pushing the two into a corner.","['Bill Butts, ', 'Kellen Goff, ', 'Yûichi Nakamura, ', 'Kenshô Ono']",999
Dexter,(2006–2013),TV-MA,49 min,"Crime, Drama, Mystery",9.0,"Dexter decides that Lila is becoming too attached, decides ""recovery"" isn't working for him, and pays another visit to his mother's killer; Debra and Lundy find a clue that points to the ""Bay Harbor Butcher"" being right under their noses.","['Keith Gordon', '| ', '    Stars:', 'Michael C. Hall, ', 'Julie Benz, ', 'Jennifer Carpenter, ', 'Erik King']","5,114"
Chocolate,(2019–2020),,,"Drama, Romance",9.0,"Back in his hometown, Kang mourns the passing of an old friend. Joon deliberates over whether to tell his father a family secret. (Source: Netflix)","['Lee Hyeong-min', '| ', '    Stars:', 'Ha Ji-Won, ', 'Yoon Kyesang, ', 'Seung-jo Jang, ', 'Jin-Woong Min']",11
The Dragon Prince,(2018– ),TV-Y7,,"Animation, Action, Adventure",9.0,"With Viren's glowing army closing in on the Storm Spire, Rayla, Callum and friends must decide whether to flee to safety or stay and fight.","['Villads Spangsberg', '| ', '    Stars:', 'Rena Anakwe, ', 'Racquel Belmonte, ', 'Paula Burrows, ', 'Ian James Corlett']",588
Frozen Planet,(2011–2012),TV-PG,333 min,Documentary,9.0,Focuses on life and the environment in both the Arctic and Antarctic.,"['David Attenborough, ', 'Alec Baldwin, ', 'Chadden Hunter, ', 'Michael Kelem']","30,498"
The Lord of the Rings: The Return of the King,(2003),PG-13,201 min,"Action, Adventure, Drama",9.0,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"['Peter Jackson', '| ', '    Stars:', 'Elijah Wood, ', 'Viggo Mortensen, ', 'Ian McKellen, ', 'Orlando Bloom']","1,819,157"
JoJo's Bizarre Adventure,(2012– ),TV-MA,25 min,"Animation, Action, Adventure",9.0,"On the island of Sardinia, a boy named Doppio is searching for Trish and the others on orders from Passione's boss. But Doppio has a dark secret, one that becomes apparent when he encounters Risotto of La Squadra.","['Griffin Burns, ', 'Shinshû Fuji, ', 'Kellen Goff, ', 'Katsuyuki Konishi']",994
Avatar: The Last Airbender,(2005–2008),TV-Y7,25 min,"Animation, Action, Adventure",9.0,Aang receives guidance from Guru Pathik at the Eastern Air Temple; Sokka is reunited with his long-lost father; Princess Azula has something diabolical in store for her enemies; Uncle and Zuko run their own tea shop.,"['Giancarlo Volpe', '| ', '    Stars:', 'Zach Tyler Eisen, ', 'Mae Whitman, ', 'Jack De Sena, ', 'Michaela Jill Murphy']","3,829"
Elite,(2018– ),TV-MA,51 min,"Crime, Drama, Thriller",9.0,The events that transpired the night of the murder unfold. The police interview several eyewitnesses who are ready to point fingers.,"['Dani de la Orden', '| ', '    Stars:', 'Itzan Escamilla, ', 'Miguel Bernardeau, ', 'Álvaro Rico, ', 'Arón Piper']","1,938"
RuPaul's Drag Race: Untucked!,(2009– ),TV-14,20 min,Reality-TV,9.0,"The safe Queens untuck and the kettle is set to boil when one Queen admits she won't be friends with another Queen after the competition. When all the Queens join everyone backstage, all the tea is thrown and everyone gets burned.",[],81
The 100,(2014–2020),TV-14,41 min,"Drama, Mystery, Sci-Fi",9.0,Clarke confronts a new adversary. A surprising connection takes us back to the past and the nuclear apocalypse that destroyed the Earth.,"['Ed Fraiman', '| ', '    Stars:', 'Eliza Taylor, ', 'Bob Morley, ', 'Marie Avgeropoulos, ', 'Lindsey Morgan']","3,610"
Bleach,(2004–2012),TV-14,24 min,"Animation, Action, Adventure",9.0,"Furious after hearing the news of the defection of three captains, Sajin Komamura arrives at the Sokyoku ready to beat the treachery out of Aizen and his lackeys.","['Kino Abe, ', 'Hodaka Kuramoto', '| ', '    Stars:', 'Masakazu Morita, ', 'Fumiko Orikasa, ', 'Noriaki Sugiyama, ', 'Hiroki Yasumoto']",584
Top Gear,(2002– ),TV-PG,52 min,"Adventure, Comedy, Reality-TV",9.0,It's the ultimate test of man against machine - or should that be dog against machine - as the Top Gear team set out on one of their most ambitious and arduous challenges ever. Jeremy ...                See full summary »,"['Nigel Simpkiss', '| ', '    Stars:', 'Jeremy Clarkson, ', 'Richard Hammond, ', 'James May, ', 'Matty McNair']",852
#HappyBirthdaySense8,(2017),,15 min,Short,9.0,Add a Plot,"['Josh Oreck', '| ', '    Stars:', 'Freema Agyeman, ', 'Jamie Clayton, ', 'Tina Desai, ', 'Bae Doona']",844
Surau dan Silek,(2017),,90 min,"Comedy, Drama, Family",9.0,An eleven-year-old boy discovers the true meaning of silek (a martial art) when he meets a 60-year-old retired university teacher and former silek warrior that he is resolved to put an end to his feud with his competitors.,"['Arief Malinmudo', '| ', '    Stars:', 'Randu Arini, ', 'Barry F. Cheln, ', 'Gilang Dirga, ', 'Dewi Irawan']",71
Power Rangers Beast Morphers,(2019–2020),TV-Y7,,"Action, Adventure, Comedy",9.0,Evox and his minions hatch the ultimate plan to take over the Morphin Grid.,"['Simon Bennett', '| ', '    Stars:', 'Rorrie D. Travis, ', 'Jasmeet Baduwalia, ', 'Jacqueline Scislowski, ', 'Abraham Rodriguez']",30
Arcane,(2021– ),TV-14,41 min,"Animation, Action, Adventure",9.0,"Set in utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League champions-and the power that will tear them apart.","['Hailee Steinfeld, ', 'Kevin Alejandro, ', 'Jason Spisak, ', 'Terri Douglas']","196,697"
Avatar: The Last Airbender,(2005–2008),TV-Y7,25 min,"Animation, Action, Adventure",9.0,"Aang relives the events after finding out that he is the Avatar 100 years ago and tells them to Katara, while Iroh tells the story of Zuko's scar and banishment to the crew.","['Lauren MacMullan', '| ', '    Stars:', 'Zach Tyler Eisen, ', 'Mae Whitman, ', 'Jack De Sena, ', 'Dante Basco']","4,443"
Rhythm + Flow,(2019– ),TV-MA,,"Music, Reality-TV",9.0,Finalists pen their dream songs with the hottest producers in the game and give performances worthy of an awards show. The judges choose a winner.,"['Sam Wrench', '| ', '    Stars:', 'Cardi B, ', 'Chance the Rapper, ', 'T.I., ', 'Caleb Colossus']",71
Dark,(2017–2020),TV-MA,56 min,"Crime, Drama, Mystery",9.0,"In 1954, a missing Helge returns, but he'll only speak to Noah. In 1987, Claudia brings the time machine to Tannhaus, and Egon questions Ulrich again.","['Baran bo Odar', '| ', '    Stars:', 'Tom Philipp, ', 'Mark Waschke, ', 'Luise Heyer, ', 'Antje Traue']","11,334"
The Dragon Prince,(2018– ),TV-Y7,,"Animation, Action, Adventure",8.9,"As Team Zym begins the steep climb up to the Dragon Queen's lair, Viren and Aaravos play a nasty trick on the sunfire elves.","['Villads Spangsberg', '| ', '    Stars:', 'Rena Anakwe, ', 'Racquel Belmonte, ', 'Paula Burrows, ', 'Ian James Corlett']",555
Hey Duggee,(2014– ),TV-Y,7 min,"Animation, Comedy, Family",8.9,"Duggee looks after the Squirrels, who earn different badges on their adventures.","['Alexander Armstrong, ', 'Jasmine Bartholomew, ', 'Alfie Sanderson, ', 'Poppie Boyes']","1,141"
Avatar: The Last Airbender,(2005–2008),TV-Y7,24 min,"Animation, Action, Adventure",8.9,"After arriving at the great wall of Ba Sing Se, Aang and the gang discover that the Fire Nation has constructed a great drilling machine to penetrate the wall. The drill is also followed by...                See full summary »","['Giancarlo Volpe', '| ', '    Stars:', 'Zach Tyler Eisen, ', 'Mae Whitman, ', 'Jack De Sena, ', 'Michaela Jill Murphy']","3,769"
Top Gear,(2002– ),TV-PG,51 min,"Adventure, Comedy, Reality-TV",8.9,"Jeremy, Richard and James head to the United States, where they each have to buy a car in Miami for less than US$1000 and drive it across four states to New Orleans. One of the challenges ...                See full summary »","['James Bryce', '| ', '    Stars:', 'Jeremy Clarkson, ', 'Richard Hammond, ', 'James May, ', 'Ben Collins']",508
Dexter,(2006–2013),TV-MA,53 min,"Crime, Drama, Mystery",8.9,"The Ice Truck Killer leaves Dexter a surprise at the scene of one of Dexter's recent kills, placing him firmly in the cross hairs of his own Homicide Division colleagues.","['Tony Goldwyn', '| ', '    Stars:', 'Michael C. Hall, ', 'Julie Benz, ', 'Jennifer Carpenter, ', 'Erik King']","6,208"
Chocolate,(2019–2020),,,"Drama, Romance",8.9,"Jun questions his deeply competitive relationship with Kang. Seon Ae, still wishing to cook for Kwon Hyun Suk, finds out what his favorite dish is. (Source: Netflix)","['Lee Hyeong-min', '| ', '    Stars:', 'Ha Ji-Won, ', 'Yoon Kyesang, ', 'Seung-jo Jang, ', 'Jin-Woong Min']",12
Fargo,(2014– ),TV-MA,53 min,"Crime, Drama, Thriller",8.9,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.","['Billy Bob Thornton, ', 'Martin Freeman, ', 'Allison Tolman, ', 'Colin Hanks']","369,918"
Chocolate,(2019–2020),,,"Drama, Romance",8.9,Joon worries about Cha Yeong as she struggles to come to terms with her condition. She and Sun Ae prepare to leave the hospice's kitchen. (Source: Netflix),"['Lee Hyeong-min', '| ', '    Stars:', 'Ha Ji-Won, ', 'Yoon Kyesang, ', 'Seung-jo Jang, ', 'Jin-Woong Min']",12
Yungnyong-i Nareusya,(2015–2016),,,"Action, Drama, History",8.9,"Story of the the foundation of the Joseon Dynasty in Korea and ambition, success and fall of several real and fictional characters.","['Yoo Ah-in, ', 'Yo-Han Byun, ', 'Myung-Min Kim, ', 'Shin Se-Kyung']",994
When They See Us,(2019),TV-MA,296 min,"Biography, Crime, Drama",8.9,Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story.,"['Asante Blackk, ', 'Caleel Harris, ', 'Ethan Herisse, ', 'Marquis Rodriguez']","119,339"
Friends,(1994–2004),TV-14,22 min,"Comedy, Romance",8.9,Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.,"['Jennifer Aniston, ', 'Courteney Cox, ', 'Lisa Kudrow, ', 'Matt LeBlanc']","979,428"
JoJo's Bizarre Adventure,(2012– ),TV-MA,25 min,"Animation, Action, Adventure",8.9,Everyone wakes up from a deep sleep to discover their souls have been swapped.,"['Lizzie Freeman, ', 'Kellen Goff, ', 'Fuminori Komatsu, ', 'Katsuyuki Konishi']",950
JoJo's Bizarre Adventure,(2012– ),TV-MA,25 min,"Animation, Action, Adventure",8.9,Giorno achieves his dream and destiny of becoming a Gang-star.,"['Sean Chiplock, ', 'Junya Enoki, ', 'Lizzie Freeman, ', 'Kellen Goff']","1,023"
Better Call Saul,(2015–2022),TV-MA,46 min,"Crime, Drama",8.9,The trials and tribulations of criminal lawyer Jimmy McGill before his fateful run-in with Walter White and Jesse Pinkman.,"['Bob Odenkirk, ', 'Rhea Seehorn, ', 'Jonathan Banks, ', 'Patrick Fabian']","501,384"
Anne with an E,(2017–2019),TV-PG,44 min,"Drama, Family",8.9,Matthew and Anne journey to help Ka'kwet.,"['Paul Fox', '| ', '    Stars:', 'Amybeth McNulty, ', 'Geraldine James, ', 'R.H. Thomson, ', 'Dalmar Abuzeid']","1,655"
Avatar: The Last Airbender,(2005–2008),TV-Y7,25 min,"Animation, Action, Adventure",8.9,"The gang hides out in the Western Air Temple. Zuko tries to convince the gang of his change in heart, but they are very hesitant. Combustion Man/Sparky-Sparky Boom Man attacks again.","['Ethan Spaulding', '| ', '    Stars:', 'Zach Tyler Eisen, ', 'Mae Whitman, ', 'Jack De Sena, ', 'Michaela Jill Murphy']","3,733"
Cowboy Bebop,(1998–1999),TV-14,24 min,"Animation, Action, Adventure",8.9,The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.,"['Kôichi Yamadera, ', 'Unshô Ishizuka, ', 'Megumi Hayashibara, ', 'Steve Blum']","117,843"
The Last Kingdom,(2015–2022),TV-MA,54 min,"Action, Drama, History",8.9,"Uhtred suffers a great loss on his attack on Bebbanburg. As he retreats south, he takes some valuable captives. Aethelflaed prepares for war.","[""Sarah O'Gorman"", '| ', '    Stars:', 'Joseph Millson, ', 'Alexander Dreymon, ', 'Arnas Fedaravicius, ', 'Finn Elliot']","2,679"
Doble Kara,(2015–2017),TV-14,,"Comedy, Crime, Drama",8.9,Add a Plot,"['Julia Montes, ', 'Mylene Dizon, ', 'Carmina Villaroel, ', 'Bernard Carritero']",25
Power Rangers Beast Morphers,(2019–2020),TV-Y7,,"Action, Adventure, Comedy",8.9,The Power Rangers' skills are put to the test when Blaze uses evil tech to massively enhance his Robotron's destructive power.,"['Riccardo Pellizzeri', '| ', '    Stars:', 'Rorrie D. Travis, ', 'Jasmeet Baduwalia, ', 'Jacqueline Scislowski, ', 'Abraham Rodriguez']",36
Stranger Things: Spotlight,(2018),TV-14,,Talk-Show,8.9,"The upside down is back, with a new monster The mind flayer that posses people for revenge, and The kids decide it's time that they fight back.",[],"2,023"
Grace and Frankie,(2015–2022),TV-MA,32 min,Comedy,8.9,Robert finally comes to terms with his memory loss. Grace and Frankie confront the possibility of immediate death--or aging for a few more years.,"['Marta Kauffman', '| ', '    Stars:', 'Jane Fonda, ', 'Lily Tomlin, ', 'Sam Waterston, ', 'Martin Sheen']",458
The Sense8 Experience,(2017),,4 min,Short,8.9,Add a Plot,"['Josh Oreck', '| ', '    Stars:', 'Aml Ameen, ', 'Jamie Clayton, ', 'Tina Desai, ', 'Bae Doona']",800
The Umbilical Brothers: The Rehearsal,(2014 Video),,92 min,Comedy,8.9,"The outrageous comedy duo uses elements of multimedia, mime and audience participation in a show that takes viewers inside their creative process.","['David Collins, ', 'Shane Dundas, ', 'Jim Hare', '| ', '    Stars:', 'David Collins, ', 'Shane Dundas, ', 'Paul Michael Ayre, ', 'Stephen Whitehead']",15
Anne with an E,(2017–2019),TV-PG,44 min,"Drama, Family",8.9,A dance rehearsal generates sparks (and tension).,"['Paul Fox', '| ', '    Stars:', 'Amybeth McNulty, ', 'Geraldine James, ', 'R.H. Thomson, ', 'Dalila Bela']","1,718"
The End of the F***ing World,(2017–2019),TV-MA,24 min,"Adventure, Comedy, Crime",8.9,"After discovering Bonnie's true intentions, James races to help Alyssa, and a tense showdown unfolds inside the café.","['Destiny Ekaragha', '| ', '    Stars:', 'Jessica Barden, ', 'Alex Lawther, ', 'Naomi Ackie, ', 'Divian Ladwa']","3,343"
The Umbrella Academy,(2019–2023),TV-14,49 min,"Action, Adventure, Comedy",8.9,"Reeling from the events at Dealey Plaza, the siblings head to the farm to help save Harlan - only to find themselves drawn into a deadly showdown.","['Jeremy Webb', '| ', '    Stars:', 'Elliot Page, ', 'Tom Hopper, ', 'David Castañeda, ', 'Emmy Raver-Lampman']","4,975"
Friends,(1994–2004),TV-14,22 min,"Comedy, Romance",8.9,Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.,"['Jennifer Aniston, ', 'Courteney Cox, ', 'Lisa Kudrow, ', 'Matt LeBlanc']","979,424"
BoJack Horseman,(2014–2020),TV-MA,26 min,"Animation, Comedy, Drama",8.9,"Diane's depression lifts, but she's still struggling to start writing her memoir. Reporters Paige and Max pay Penny a visit.","['James Bowman', '| ', '    Stars:', 'Will Arnett, ', 'Amy Sedaris, ', 'Alison Brie, ', 'Paul F. Tompkins']","3,200"
BoJack Horseman,(2014–2020),TV-MA,26 min,"Animation, Comedy, Drama",8.9,Angela Diaz reaches out to BoJack. Princess Carolyn gets an offer from Lenny Turtletaub. Todd cooks up a scheme.,"['James Bowman', '| ', '    Stars:', 'Will Arnett, ', 'Amy Sedaris, ', 'Alison Brie, ', 'Paul F. Tompkins']","3,112"
Lucifer,(2016–2021),TV-14,55 min,"Crime, Drama, Fantasy",8.9,"As a shocking side effect of his romance with Chloe throws Lucifer for a loop, the new couple pursues a murderer with a most unusual M.O.","['Nathan Hope', '| ', '    Stars:', 'Tom Ellis, ', 'Lauren German, ', 'Kevin Alejandro, ', 'D.B. Woodside']","3,869"
Still Game,(2002–2019),TV-14,30 min,Comedy,8.9,"Cult Scottish comedy about the lives of two OAP's Jack and Victor and their views on how it used to be in the old days and how bad it is now in the fictional area of Craiglang, Glasgow.","['Ford Kiernan, ', 'Greg Hemphill, ', 'Paul Riley, ', 'Gavin Mitchell']","7,880"
Chief of Staff,(2019),,,Drama,8.9,"Han Do Kyung joins the staff as a new intern. Tae Joon makes a controversial proposal for the upcoming government audit, which has everyone on edge.","['Jung Hwan Kwak', '| ', '    Stars:', 'Lee Jung-jae, ', 'Shin Min-a, ', 'Elliya Lee, ', 'Dong-jun Kim']",15
Legend of the Blue Sea,(2016–2017),,,"Comedy, Drama, Fantasy",8.9,Add a Plot,[],18
Seinfeld,(1989–1998),TV-PG,22 min,Comedy,8.9,The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.,"['Jerry Seinfeld, ', 'Julia Louis-Dreyfus, ', 'Michael Richards, ', 'Jason Alexander']","314,089"
Mighty Little Bheem,(2019– ),TV-Y,,"Animation, Short, Adventure",8.9,Add a Plot,"['Rajiv Chilaka, ', 'Krishna Mohan Chintapatla']",10
Dark,(2017–2020),TV-14,54 min,"Crime, Drama, Mystery",8.9,"Clausen and Charlotte interview Regina. The Stranger takes Hannah to 1987, where Claudia has an unnerving encounter and Egon visits an old nemesis.","['Baran bo Odar', '| ', '    Stars:', 'Louis Hofmann, ', 'Daan Lennard Liebrenz, ', 'Anne Ratte-Polle, ', 'Julika Jenkins']","11,416"
Extraordinary Attorney Woo,(2022),TV-14,75 min,Drama,8.9,"About an autistic 27-year-old lawyer. Due to her high IQ of 164, impressive memory, and creative thought process, the brilliant Woo Young Woo graduated at the top of her class from a prestigious law school.","['Park Eun-bin, ', 'Kang Tae-oh, ', 'Kang Ki-young, ', 'Jeon Bae-soo']","9,538"
Dexter,(2006–2013),TV-MA,55 min,"Crime, Drama, Mystery",8.9,"Dexter's world comes crumbling down when Doakes tracks him to the scene of his latest kill and reveals a devastating secret about Harry; the Miami Metro PD closes in on the ""Bay Harbor Butcher.""","['Steve Shill', '| ', '    Stars:', 'Michael C. Hall, ', 'Julie Benz, ', 'Jennifer Carpenter, ', 'Erik King']","4,928"
Dexter,(2006–2013),TV-MA,53 min,"Crime, Drama, Mystery",8.9,"The strange suicide of a powerful woman leads Dexter to suspect her shrink of murder, but he gets a shock when a visit to the suspect opens up dark secrets from Dexter's past.","['Tony Goldwyn', '| ', '    Stars:', 'Michael C. Hall, ', 'Julie Benz, ', 'Jennifer Carpenter, ', 'Erik King']","6,349"
David Attenborough: A Life on Our Planet,(2020),PG,83 min,"Documentary, Biography",8.9,One man has seen more of the natural world than any other. This unique feature documentary is his witness statement.,"['Alastair Fothergill, ', 'Jonathan Hughes, ', 'Keith Scholey', '| ', '    Stars:', 'David Attenborough, ', 'Max Hughes']","32,001"
Bleach,(2004–2012),TV-14,23 min,"Animation, Action, Adventure",8.9,"Lying weak with sword wounds on the ground, Ichigo is greeted by a vision of an embodied version of his zanpaku-to.","['Kino Abe', '| ', '    Stars:', 'Masakazu Morita, ', 'Fumihiko Tachiki, ', 'Hisayo Mochizuki, ', 'Nobuyuki Hiyama']",619
Bleach,(2004–2012),TV-14,24 min,"Animation, Action, Adventure",8.9,The fierce battle between Ichigo and Captain Byakuya rages on. Ichigo taunts Byakuya and demands that he use his Bankai against him...,"['Kino Abe', '| ', '    Stars:', 'Masakazu Morita, ', 'Fumiko Orikasa, ', 'Noriaki Sugiyama, ', 'Hiroki Yasumoto']",570
Chocolate,(2019–2020),,,"Drama, Romance",8.8,"Kang decides to stay in Wando a little while longer, and asks Cha Yeong to do the same. Jun also makes his way to the island. (Source: Netflix)","['Lee Hyeong-min', '| ', '    Stars:', 'Ha Ji-Won, ', 'Yoon Kyesang, ', 'Seung-jo Jang, ', 'Jin-Woong Min']",11
Power Rangers Beast Morphers,(2019–2020),TV-Y7,,"Action, Adventure, Comedy",8.8,The Rangers are skeptical when Steel says he's found clues that proves Evox may have returned.,"['Oliver Driver', '| ', '    Stars:', 'Rorrie D. Travis, ', 'Jasmeet Baduwalia, ', 'Jacqueline Scislowski, ', 'Abraham Rodriguez']",43
Vagabond,(2019),,,"Action, Mystery, Thriller",8.8,The NIS takes Dal Geon to a safe house. Tae Woong questions Oh Sang Mi about her husband's involvement in the plane crash but is ordered to release her.,"['Yu In-sik', '| ', '    Stars:', 'Lee Seung-gi, ', 'Bae Suzy, ', 'Seong-rok Sin, ', 'Moon Jeong-Hee']",156
Steins;Gate,(2011–2015),TV-14,24 min,"Animation, Comedy, Drama",8.8,"After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans.","['Mamoru Miyano, ', 'Asami Imai, ', 'Kana Hanazawa, ', 'Ashly Burch']","61,150"
Vagabond,(2019),,,"Action, Mystery, Thriller",8.8,"After running from the embassy, Dal Geon and the others head back to Korea another way. Min Jae Shik confronts Kang Joo Cheol.","['Yu In-sik', '| ', '    Stars:', 'Lee Seung-gi, ', 'Bae Suzy, ', 'Seong-rok Sin, ', 'Moon Jeong-Hee']",139
Bleach,(2004–2012),TV-14,24 min,"Animation, Action, Adventure",8.8,"While Renji is going to save Rukia from her execution, he encounters Byakuya who is trying make the execution happens at any cost.","['Kino Abe, ', 'Kôji Aritomi', '| ', '    Stars:', 'Masakazu Morita, ', 'Fumiko Orikasa, ', 'Takayuki Sugô, ', 'Ryôtarô Okiayu']",568
She-Ra and the Princesses of Power,(2018–2020),TV-Y7,24 min,"Animation, Action, Adventure",8.8,"Glimmer tries to convince Scorpia to reconnect with her runestone. On Beast Island, Entrapta reveals dire new details about the Heart of Etheria.","['Jen Bennett', '| ', '    Stars:', 'Aimee Carrero, ', 'Karen Fukuhara, ', 'AJ Michalka, ', 'Marcus Scribner']","1,072"
Chocolate,(2019–2020),,,"Drama, Romance",8.8,Kang chooses what's most important to him. Cha Yeong receives an unexpected phone call while getting ready to celebrate his birthday. (Source: Netflix),"['Lee Hyeong-min', '| ', '    Stars:', 'Ha Ji-Won, ', 'Yoon Kyesang, ', 'Seung-jo Jang, ', 'Jin-Woong Min']",12
Chief of Staff,(2019),,,Drama,8.8,Add a Plot,"['Jung Hwan Kwak', '| ', '    Stars:', 'Lee Jung-jae, ', 'Shin Min-a, ', 'Elliya Lee, ', 'Dong-jun Kim']",12
Peaky Blinders,(2013–2022),TV-MA,60 min,"Crime, Drama",8.8,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.","['Cillian Murphy, ', 'Paul Anderson, ', 'Sophie Rundle, ', 'Helen McCrory']","531,058"
Avatar: The Last Airbender,(2005–2008),TV-Y7,25 min,"Animation, Action, Adventure",8.8,"In this special episode, we go back in time to the moment Appa was stolen, will find out where he has gone and who he has met along the way and more importantly where he is now!","['Giancarlo Volpe', '| ', '    Stars:', 'Zach Tyler Eisen, ', 'Michaela Jill Murphy, ', 'Dante Basco, ', 'Dee Bradley Baker']","3,895"
Chen qing ling,(2019),,50 min,"Action, Adventure, Drama",8.8,Two talented disciples of respectable magical clans unit during the cultivation training and through many hardships they are together.,"['Zhan Xiao, ', 'Yibo Wang, ', 'Zhuocheng Wang, ', 'Lu Xuan']","6,380"
Black Mirror,(2011–2019),TV-MA,60 min,"Drama, Mystery, Sci-Fi",8.8,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.","['Daniel Lapaine, ', 'Hannah John-Kamen, ', 'Michaela Coel, ', 'Beatrice Robertson-Jones']","535,785"
Avatar: The Last Airbender,(2005–2008),TV-Y7,24 min,"Animation, Action, Adventure",8.8,"To contact the spirit of the previous Avatar, Aang must reach a temple in the Fire Nation before the sun sets on the following day. There he will learn what he must do to restore balance to...                See full summary »","['Giancarlo Volpe', '| ', '    Stars:', 'Zach Tyler Eisen, ', 'Mae Whitman, ', 'Jack De Sena, ', 'Dante Basco']","4,218"
Avatar: The Last Airbender,(2005–2008),TV-Y7,25 min,"Animation, Action, Adventure",8.8,"After deciding he's the least valuable member of the team, Sokka seeks an apprenticeship with a sword-master. The rest of the gang tries to adjust to being without him. The imprisoned Iroh may not be as beaten as he seems.","['Giancarlo Volpe', '| ', '    Stars:', 'Zach Tyler Eisen, ', 'Mae Whitman, ', 'Jack De Sena, ', 'Michaela Jill Murphy']","3,865"
Chappelle's Show,(2003–2006),TV-MA,22 min,"Comedy, Music",8.8,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.,"['Dave Chappelle, ', 'Donnell Rawlings, ', 'Rudy Rush, ', 'Charlie Murphy']","64,313"
Hotel Del Luna,(2019),,83 min,"Action, Comedy, Drama",8.8,"As the hotel and its staff wait for Man Wol, Ma Go Shin sends Chan Seong through time to collect an ingredient to brew a powerful drink.","['Choong Hwan Oh', '| ', '    Stars:', 'Ji-eun Lee, ', 'Yeo Jin-gu, ', 'Shin Jeong-geun, ', 'Bae Hae-sun']",100
Twin Peaks,(1990–1991),TV-MA,47 min,"Crime, Drama, Mystery",8.8,An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.,"['Kyle MacLachlan, ', 'Michael Ontkean, ', 'Mädchen Amick, ', 'Dana Ashbrook']","196,192"
Vinland Saga,(2019– ),TV-MA,24 min,"Animation, Action, Adventure",8.8,Thorfinn pursues a journey with his father's killer in order to take revenge and end his life in a duel as an honorable warrior and pay his father a homage.,"['Zach Aguilar, ', 'William Christopher Stephens, ', 'Keith Silverstein, ', 'Kira Buckland']","36,550"
Vagabond,(2019),,,"Action, Mystery, Thriller",8.8,Dal Geon runs into trouble while trying to carry out his own search. Tae Woong is displeased that the operation in Morocco doesn't go as planned.,"['Yu In-sik', '| ', '    Stars:', 'Lee Seung-gi, ', 'Bae Suzy, ', 'Seong-rok Sin, ', 'Moon Jeong-Hee']",141
